# 国家地名信息库·地名读音
# https://dmfw.mca.gov.cn/sound.html
#
# 地名	类型	读音
# standardName	placeType	romanAlphabetSpelling

敖包图	农村居民点	Ôbôôt
阿力斯扎拉格	盆地	Aalûs Jalag
敖包山	山峰	Ôbôô Shān / Ôbôô Ûûl
敖包山	山	Ôbôô Shān / Ôbôô Ûûl / Ôbôô ÛÛl / Áobāo Shān / Ôbôôn Ûûl / Ôbôôt Ûûl / Ábôô Shān
阿尔吉哈达	山	Arxaanjí Had / Arjii Had
阿尔包勒格诺尔	湖泊	Ar Bûlag Nûûr
敖汉营子	农村居民点	Aôhan Yíngzi / Ôbôô Yíng z
敖包图达巴	山	Ôbôôt Dabaa
敖包图	山	Ôbôôt
敖包诺尔	湖泊	Ôbôô Nûûr
阿贵哈达	山	Agûi Had
阿日浑迪达巴	山	Ar Hondei Dabaa
阿斯达巴	山	As Dabaa
阿拉善	农村居民点	Alagxa / Arxan
敖包	农村居民点	Ôbôô / Áobāo
阿木斯尔	农村居民点	Amsar
阿日棍花	山	Arûûn Hûa
阿吉日干浑迪	山谷、谷地	Ajirgan Hondei
阿日诺尔	农村居民点	Ar Nûûr / Arin nûûr
阿希格呼舒	山	Axig Hûxûû
敖其日额日格	山	Ôqir Ereg
敖包敖瑞	山	Ôbôô Ôrôi / Ôbôônôrôi / Aôbôô Ôrûi
阿拉嘎诺尔	农村居民点	Alag Nûûr
阿尔包勒格	农村居民点	Ar Bûlag
安太堡	农村居民点	Āntàibǔ
安坪一坑	山谷、谷地	Ānpíng Yī Kēng
阿门乌苏浩特	农村居民点	Aman Ûs Hôt
安白音宝拉格浩特	农村居民点	Ambain Bûlag Hôt
阿贵图嘎查委员会苏吉浩特	农村居民点	Agûit Gaqaanai Joblel Suuj Hôt
敖恩图浩特	农村居民点	Ôônôt Hôt
阿日英图浩特	农村居民点	Ar Yingt Hôt
阿日宝拉嘎	泉	Ar Bulag
阿贵图音宝拉格	泉	Aguitin Bulag
阿日浩特	农村居民点	Ar Hôt
阿木古楞宝拉格	泉	Amaglang Bulag
敖日格拉宝拉格	泉	Orgill Bulag
阿能浩特	农村居民点	Anang Hôt
安平村	农村居民点	Ānpíng Cūn
阿日道劳浩特	农村居民点	Ar Dôlôô Hôt
阿日哈登呼都嘎浩特	农村居民点	Ar Hadan Hûdûg Hôt
阿日都毕浩特	农村居民点	Ar Dobi Hôt
安阳掌村	农村居民点	Ānyángzhǎng Cūn
阿钦乌苏	湖泊	Aqin Ûs
安沟	山谷、谷地	Āngōu
阿日奔道劳恩呼都格音特库木	草原	Arban Dôlôôn Hûdagiin Tohom
敖包音其日嘎小组	农村居民点	Ôbôô Qirag Xiǎozǔ
阿布日古音壕赖	草原	Abûrgaiin Hôôlai
阿拉格陶勒盖	草原	Alag Tôlgai / Alag Tôlgôi
敖伦淖尔小组	农村居民点	Ôlôn Nûûr Xiǎozǔ
敖包图音高勒	农村居民点	Ôbôôtiin Gôl
阿日善高勒	农村居民点	Arxaan Gôl
敖楞乌素	农村居民点	Ôlôn Ûs
阿日音乌素	农村居民点	Ariin Ûs
敖楞敖包	农村居民点	Ôlôn Ôbôô
阿门乌素	农村居民点	Amn Ûs
阿布德尔	农村居民点	Abdar
阿拉格陶勒盖	农村居民点	Alag Tôlgôi
阿日其日格音阿门呼都格	农村居民点	Hûdag
阿贵图沟	山谷、谷地	Agûit Gûû
阿拉坦莫勒黑乌拉	山	Altan Melhei Ûûl
阿德格音呼都格	农、林、牧场点	Adgiin Hûdag
阿敦朝鲁	草原	Aduun Qûlûû
阿其图	山峰	Aqat
敖包特音浑迪	河流	Ôbôôtiin Hundii
敖仑海勒斯	农、林、牧场点	Olon Hails
阿拉格特格	山峰	Alag Teeg
阿日尚德	农、林、牧场点	Ar Xand
敖尔其格	山	Ôôrqig
阿日布日嘎斯	农、林、牧场点	Ar Bûrgaas / Ar Burgaas
阿拉布拉格村村民委员会	村民委员会	Ar Bûlag Cūn Cūnmínwěiyuánhuì
敖日其格嘎查	农村居民点	Ȏôrciggacaa
敖包特	山	Ôbôôt
阿古碌呔	农村居民点	Agarûûtai
阿拉干浑迪	山谷、谷地	Algan Hondei
阿尔吉嘎	山	Arjig
阿贵图	山	Agûit
敖汉营子村	村民委员会	Aûhan Yíngzi Cūn
敖包乌拉	山	Ôbôô Ûûl / Ôbôôt Ûûl / Ȏbôô Ûûl / Ôbôô ÛÛl
阿布达日楚鲁	山	Abdar Qûlûû
奥和特尔包勒格	草原	Ôgtôr Bûlag
阿木尔毛敦塔拉	草原	Amar Môdôn Tal
阿斯嘎沟泉	泉	Ashaagûû Quán
阿斯罕	山谷、谷地	Asgan
敖日其格	山	Ôôrqig / Ôrqgôr
阿贵忽少	农村居民点	Agûihûxûû
安家房	农村居民点	Ānjiāfáng
阿登村	农村居民点	Ādēngcūn
阿拉坦大街	主干路	Altɑn Jiē
阿吉日干绍荣	山	Ajirgan Xôrông
阿日呼布	农村居民点	Ar Hob
阿日包勒格敖瑞	山	Ar Bûlag Ôrôi
阿拉塔干图芒哈	沙漠	Altagant Mangh
阿拉坦仓	农村居民点	Altan Sang
阿日吉嘎日	山	Arjigar
阿日班格日嘎查委员会	村民委员会	Arban Ger Gaqaa Wěiyuánhuì
阿林艾勒	农村居民点	Ariin'ail
阿日宝拉格	泉	Ar Bûlag / Ar Bulag
阿木林贵	山坡	Amûrlanggui
阿日山高勒	河流	Arxaan Gôl
阿林召村	农村居民点	Arinjuu Cūn
爱岩峁	山	Àiyánmǎo
艾岩	山	Àiyán
敖布代绍荣	山	Ôbdai Xôrông
阿拉嘎毛仁达巴	山	Alag Môrin Dabaa
敖图嘎达巴	山	Ôtôgin Dabaa
阿仁塔拉	草原	Arin Tal
阿日吉嘎日达巴	山	Arjager Dabaa
阿格杰	山	Agjai
阿鲁科尔沁旗	县级行政区	Ar Hôrqin Qí
敖其尔敖包	山	Ôqir Ôbôô
敖包焉	农村居民点	Ôbôô Yān / Ôbôô Yàn
